1,AWS Technical Essentials\n
2,Architecting on AWS\n
3,Security Engineering on AWS\n
4,DevOps Engineering on AWS\n
5,AWS Certified Associate Exam Voucher\n
6,Planning and Designing Databases on AWS\n
7,Advanced Developing on AWS\n
8,AWS Cloud Practitioner Essentials\n
9,AWS Security Essentials\n
10,AWS Cloud Financial Management for Builders\n
11,Running Containers on Amazon Elastic Kubernetes Service (Amazon EKS)\n
12,Migrating to AWS\n
13,AWS Cloud Essentials for Business Leaders\n
14,AWS Cloud Essentials for Business Leaders ? Financial Services\n
15,Developing Serverless Solutions on AWS\n
16,Certified Ethical Hacker (CEHv12)\n
17,CHFI - Computer Hacking Forensic Investigator (EC-CHFI)\n
18,Securing Email with Cisco Email Security Appliance v3.1\n
19,Data Warehousing on AWS\n
20,Advanced Architecting on AWS\n
21,Planning & Designing Databases on AWS\n
22,Cloud Operations on AWS\n
23,Developing on AWS\n
24,CCNP ENCOR Training\n
25,ENARSI Implementing Cisco Enterprise Advanced Routing and Services Training\n
26,Implementing and Operating Cisco Security Core Technologies (SCOR) Training\n
27,Implementing Cisco Advanced Call Control and Mobility Services (CLACCM) v1.0\n
28,Understanding Cisco Cybersecurity Operations Fundamentals Training (CBROPS)\n
29,CCNP Data Center Certification Training (DCFNDU v1.0)\n
30,Cisco Collaboration Training (CLFNDU v1.1)\n
31,CCNA Certification Training\n
32,Configuring Cisco Unified Computing System (DCCUCS v1.0) Training\n
33,CompTIA Linux+® Certification Training\n
34,CompTIA Cloud+® Certification Training\n
35,CompTIA Data+® Certification Training\n
36,CompTIA Security+® Training\n
37,CompTIA DataSys+ Certification Training\n
38,CompTIA Network+® Training\n
39,CompTIA CASP+® Training\n
40,CompTIA CySA+® Certification Training\n
41,CompTIA PenTest+® Training\n
42,CompTIA A+® Certification Training\n
43,Certified Ethical Hacker (CEH) Training\n
44,Certified Network Defender (CND) v3 Certification Training\n
45,EC-Council Certified Cybersecurity Technician (C|CT)\n
46,CHFI Certification - Computer Hacking Forensic Investigator Training CHFI v11\n
47,EC-Council Certified Threat Intelligence Analyst (C|TIA) v2\n
48,EC-Council Certified Incident Handler (ECIH) Training ECIH v2\n
49,EC-Council Certified CISO Training CCISO v3\n
50,Developing on AWS plus Jam\nLearn how to use the AWS SDK to develop secure and scalable cloud applications using multiple AWS services.
51,AWS Cloud Essentials for Business Leaders\nGet introduced to cloud concepts and advantages.\nGK# 821433\nVendor# AWS Cloud Ess for BL
52,Migrating to AWS\nLearn how to plan and migrate existing workloads to the AWS Cloud.
53,Cloud Operations on AWS\nLearn how to manage and operate automatable and repeatable deployments of networks and systems on AWS.
54,Running Containers on Amazon Elastic Kubernetes Service\nLearn how to run Kubernetes on AWS without needing to maintain your own Kubernetes control plane.
55,Media Essentials for IT Business Decision Makers\nNew -\nExplore media and cloud fundamentals using AWS Media Services
56,Advanced Architecting on AWS\nLearn how to build complex solutions that incorporate data services\, governance\, and security on AWS.
57,AWS Security Essentials\nNew -\nLearn fundamental AWS cloud security concepts.
58,AWS Discovery Day: Machine Learning Basics\nLearn about important concepts\, terminology\, and the phases of a machine learning pipeline.
59,Data Warehousing on AWS\nValidate new skills and apply knowledge to your working environment through a variety of practical exercises.
60,AWS Discovery Day Generative AI Essentials for Technical and Business Decision Makers\nGain an understanding of Generative AI and how it supports business growth with Generative AI Essentials for Technical and Business Decision Makers.
61,AWS Certification Exam Readiness Workshop: AWS Certified Security Specialty\nLearn how to prepare and succeed in the The AWS Certified Security Specialty exam.
62,Building Data Analytics Solutions Using Amazon Redshift\nLearn to integrate Amazon Redshift with a data lake to support both analytics and machine learning workloads.
63,Practical Data Science with Amazon SageMaker\nPrepping data sets for machine learning and thinking about results
64,AWS Cloud Practitioner Essentials\nLearn about AWS Cloud concepts\, AWS services\, security\, architecture\, pricing\, and support to build your AWS Cloud knowledge.
65,AWS Well-Architected Best Practices\nLearn AWS Well-Architected Framework and its 5 pillars.
66,Advanced Developing on AWS\nThis course follows on the concepts learned in Developing on AWS concerting legacy systems into a serverless microservices architecture.
67,Planning and Designing Databases on AWS\nLearn about the process of planning and designing relational and non-relational databases on Amazon solutions.
68,AWS Exam Readiness Workshop: AWS Certified SysOps� Associate\nNew
69,AWS Technical Essentials\nLearn fundamentals to become more proficient in identifying AWS services.
70,The Machine Learning Pipeline on AWS\nLearn how to use machine learning on AWS.
71,AWS Discovery Day: Securing your AWS Cloud\nLearn several AWS services that you can use to improve your current security posture.
72,Architecting on AWS plus Jam\nLearn to identify services and features to build resilient\, secure and highly available IT solutions on the AWS Cloud.
73,AWS Discovery Day Fundamentals of a Modern Data Strategy on AWS\nLearn how to modernize\, unify\, and innovate your way to a modern data strategy with AWS.
74,AWS Exam Readiness Workshop: AWS Certified Developer � Associate\nNew
75,Developing on AWS\nDesign and build secure\, reliable\, and scalable AWS-based applications.
76,Architecting on AWS\nLearn to identify services and features to build resilient\, secure and highly available IT solutions on the AWS Cloud.
77,AWS Cloud Practitioner Exam Readiness Workshop\nNew -\nLearn key test-taking strategies and  put them into action.
78,Amazon SageMaker Studio for Data Scientists\nExplore Amazon SageMaker Studio helps data scientists prepare\, build\, train\, deploy\, and monitor machine learning (ML) models.
79,AWS Cloud Essentials for Business Leaders - Financial Services\nLearn the fundamental concepts of cloud computing.\nGK# 821444\nVendor# AWS Cld Ess for Bl-F
80,AWS Security Best Practices\nLearn how to secure your network infrastructure using sound design options.
81,AWS Security Governance at Scale\nLearn how to facilitate developer speed and agility\, and incorporate preventive and detective controls.
82,DevOps Engineering on AWS\nLearn the core principles of DevOps methodology and use cases.
83,AWS Discovery Day � Free Live Course\nLearn the benefits of computing in the AWS Cloud.
84,Building Batch Data Analytics Solutions on AWS\nLearn to build batch data analytics solutions using Amazon EMR\, an enterprise-grade Apache Spark and Apache Hadoop managed service.
85,AWS Discovery Day Introduction to Prompt Engineering\nLearn to create and optimize prompts for a variety of ML models with Introduction to Prompt Engineering
86,Deep Learning on AWS\nDeploy cloud-based deep learning models using AWS services.
87,Exam Readiness Intensive Workshop: AWS Certified Solutions Architect-Associate\nLearn how to get ready for the AWS Certified Solutions Architect � Associate exam
88,MLOps Engineering on AWS\nBuild\, train\, and deploy machine learning (ML) models.
89,Advanced AWS Well Architected Best Practices\nLearn instructor led event provides a deep dive into Amazon Web Services (AWS) best practices.
90,Secrets to Successful Cloud Transformations\nBuild a holistic cloud-adoption.
91,Security Engineering on AWS\nLearn best practices for securing the AWS cloud.
92,DCIUCS - Introducing Cisco Unified Computing System v1.0\nThis introductory course shows you how to deploy\, secure\, operate and maintain the Cisco Unified Computing system (Cisco UCS) B-Series blade server\, Cisco UCS C-Series and S-Series rack servers\, and Cisco HyperFlex product family for use in data centers.
93,ACUCW1 - Administering Cisco Unified Communications Workspace Part 1 (v12.5): Basic Administration for Multisite Deployments\nCisco Unified Communications Manager Software v12.5 | Cisco Unity Connection v12.5 | Cisco IM&P v12.5
94,ICM - Implementing Cisco Multicast v3.0\nExclusive -\nLearn to design\, implement\, and troubleshoot IP multicast-enabled networks.
95,UCCXD - Deploying Cisco Unified Contact Center Express v6.0\nLearn about the Cisco Unified Contact Center Express (Unified CCX) product and its associated client applications and scripting tools.
96,Cisco Meeting Server Advanced (COLLAB350) v4.0\nThe Cisco Meeting Server Advanced (COLLAB350) v4.0 course shows you how to install and configure a resilient and scalable Cisco� Meeting Server deployment.
97,SWSA - Securing the Web with Cisco Web Security Appliance v3.0\nImplement\, use\, and maintain Cisco Web Security Appliance (WSA)\, powered by Cisco Talos\, to provide advanced protection for business email and control against web security threats.
98,DCNX-Implementing Cisco Nexus Switches and Fabrics in the Data Center v1.0\nUnderstand the Cisco Nexus� switch platform and learn how to install\, configure\, and manage Cisco� Nexus switch platforms in a scalable\, highly available environment.
99,CMWN-Cisco Meraki Wireless Network Optimization v1.0\nThe course\, Cisco Meraki Wireless Network Operations and Troubleshooting (CMWN) v1.0 elevates your knowledge of Cisco Meraki Wireless technology.
100,ENCOR - Implementing and Operating Cisco Enterprise Network Core Technologies v1.3\nThis course gives you the knowledge and skills needed to configure\, troubleshoot\, and manage wired and wireless Cisco enterprise networks.
101,CLFNDU - Understanding Cisco Collaboration Foundations v1.1\nLearn to administer and support a single-site Cisco Unified Communications Manager solution with Session Initiation Protocol (SIP) gateway.
102,Cisco Application Centric Infrastructure Operations and Troubleshooting (DCACIO) v5.2\nOperate and troubleshoot Cisco data center network infrastructure running Cisco ACI.
103,ENTFNDU - Cisco Enterprise Networking Foundations\nGain the foundational knowledge necessary to help support Cisco routers and prepares you for the CCNA-Implementing and Administering Cisco Solutions v1.0 and CCT Routing & Switching certification.
104,SDWFND-Cisco SD-WAN Operation and Deployment v2.0\nCisco SD-WAN is a new technology\, this training covers salient features such as zero-touch provisioning\, secure network bring-up\, configuration using feature templates\, configuration of Overlay Management Protocol (OMP) and policies for network traffic management.
105,R-PHY - Cisco Remote PHY Deep Dive\nLearn the Remote PHY architecture\, Remote PHY Device (RPD) installation\, deployment best practices\, and more.
106,SPCOR - Implementing and Operating Cisco Service Provider Network Core Technologies v1.0\nConfigure\, verify\, troubleshoot\, and optimize Cisco next-generation Service Provider IP network infrastructures.
107,ENSLD - Designing Cisco Enterprise Networks v2.0\nTake a deep dive into Cisco enterprise network design.
108,DEVOPS - Implementing DevOps Solutions and Practices Using Cisco Platforms v1.0\nLearn how to integrate Docker and Kubernetes to create advanced capabilities and flexibility on Cisco platforms.
109,SDWADV-Cisco SD-WAN Day-N Advanced Monitoring and Troubleshooting\nSDWADV is a 4-day Cisco SD-WAN training targeted to engineers and technical personnel involved in deploying\, implementing\, operating and optimizing Cisco SD-WAN solution
110,SPRI - Implementing Cisco Service Provider Advanced Routing Solutions v1.0\nThis course prepares you for the 300-510 Implementing Cisco Service Provider Advanced Routing Solutions (SPRI) exam.
111,SPVI - Implementing Cisco Service Provider VPN Services v1.0\nThis course prepares you to manage end-customer VPN environments built over a common service provider MPLS backbone.
112,SSFRULES - Securing Cisco Networks with Snort Rule Writing Best Practices v2.1\nLearn to analyze\, exploit packet captures\, and put the rule writing theories learned to work by implementing rule-language features for triggering alerts on the offending network traffic.
113,WXTW Cisco Teams (Spark) Collaboration Workshop\nWXTX (Cisco WebEx Teams Workshop)is a 3-day class focused around Cisco WebEx Teams\, an app-centric\, cloud-based service that provides a complete collaboration suite for teams to create\, meet\, message\, call\, care\, whiteboard\, and share\, regardless of whether they�re together or apart�in one continuous work stream before\, during\, and after meetings
114,CCECE � Implementing Cisco Contact Center Enterprise Chat & Email\nIn this 4-day hands-on course students will discover how to deploy Cisco Enterprise Chat and Email into an existing Packaged Contact Center environment
115,SAUI - Implementing Automation for Cisco Security Solutions v1.0\nThis course will teach you when to use an API for Cisco security solutions to drive network efficiency and reduce complexity. As well as prepare for the 300-735 - Automating and Programming Cisco Security Solutions (SAUTO) exam.
116,ENWLSI-Implementing Cisco Enterprise Wireless Networks v2.0\nThe Implementing Cisco Enterprise Wireless Networks (ENWLSI) training helps you implement network settings to provide a secure wireless network infrastructure and troubleshoot any related issues with hands-on labs to reinforce concepts.
117,Application Centric Infrastructure Administration\, Operations and Troubleshooting\nNew -\nDevelop essential skills for administrating and troubleshooting an Application Centric Infrastructure Fabric to include Tenants\, VRFs\, Bridge Domains\, Subnets\, EPGs\, VMM Integration and Application Profiles for Application connectivity and Routed External L3 connectivity. Identify faults and apply best-practice Application Centric Infrastructure troubleshooting tools. Newly updated to Application Policy Infrastructure Controller version 4.
118,CSAU - Introducing Automation for Cisco Solutions v1.0\nGain a broad understanding of network automation skills on Cisco solutions.
119,DCID - Designing Cisco Data Center Infrastructure v7.1\nMaster design and deployment options focused on Cisco data center solutions and technologies across network\, compute\, virtualization\, storage area networks\, automation\, and security.
120,CCEA � Administering Cisco Contact Center Enterprise v1.0\nA 4-day course intended for system engineers\, administrators\, and support engineers responsible for tier one support.
121,DCNML-Managing LAN Infrastructure with Cisco Data Center Network Manager v1.1\nThe course\, Managing LAN Infrastructure with Cisco Data Center Network Manager (DCNML) v1.1 enhances your knowledge of managing LAN Infrastructure with Cisco Data Center Network Manager (DCNM) implementing a spine-and-leaf network fabric using DCNM with Virtual Extensible LAN (VXLAN)\, Ethernet VPN (EVPN)\, and Border Gateway Protocol (BGP).
122,SDWSEC-SD-WAN Advanced Policy\, Security\, and Programmability\nThis course provides hands-on training on Cisco SD-WAN Programmability features.
123,QOS - Implementing Cisco Quality of Service v3.0\nLearn how to design and implement efficient\, optimal\, and trouble-free multiservice networks.
124,CLCNF-Implementing Cisco Collaboration Conferencing v1.1\nThe Implementing Cisco Collaboration Conferencing (CLCNF) course focuses on Cisco� on-premises conferencing architecture and solutions. You will learn how to implement common conferencing deployment scenarios of Cisco Meeting Server
125,IBNTRN - Transforming to a Cisco Intent-Based Network v1.1\nThe Transforming to a Cisco Intent Based Network (IBNTRN) v1.1 course teaches you how the functionality of Cisco SD-Access fits into Cisco Digital Network Architecture (DNA).
